time,lat,lon
2012-12-04T16:36:49.897-08:00,-77.6116313,43.1144702
2012-12-04T16:43:43.411-08:00,-77.6168609,43.1232448
2012-12-04T16:49:22.297-08:00,-77.6168609,43.1232448
2012-12-04T16:57:58.931-08:00,-77.6168855,43.1232628
2012-12-04T16:59:59.760-08:00,-77.6168855,43.1232628
2012-12-04T17:02:32.743-08:00,-77.6168855,43.1232628
2012-12-04T17:08:23.260-08:00,-77.6168609,43.1232448
2012-12-04T17:10:28.677-08:00,-77.6168609,43.1232448
2012-12-04T17:13:50.116-08:00,-77.6168609,43.1232448
2012-12-04T17:16:50.113-08:00,-77.6168953,43.1233231
2012-12-04T17:17:50.131-08:00,-77.6168953,43.1233231
2012-12-04T17:22:50.094-08:00,-77.6168548,43.1232403
2012-12-04T17:23:50.212-08:00,-77.6168548,43.1232403
2012-12-04T17:29:46.859-08:00,-77.6168732,43.1232808
2012-12-04T17:30:46.871-08:00,-77.6168732,43.1232808
2012-12-04T17:34:46.965-08:00,-77.6169323,43.1233231
2012-12-04T17:35:47.868-08:00,-77.6169323,43.1233231
2012-12-04T17:38:48.972-08:00,-77.6169323,43.1233231
2012-12-04T17:50:00.944-08:00,-77.6168732,43.1232538
2012-12-04T17:52:06.594-08:00,-77.6168732,43.1232538
2012-12-04T18:21:21.967-08:00,-77.6169323,43.1233231
2012-12-04T18:39:27.437-08:00,-77.6168548,43.1232403
2012-12-04T19:40:03.273-08:00,-77.6168732,43.1232538
2012-12-04T20:26:47.808-08:00,-77.6168732,43.1232538
2012-12-04T20:41:50.289-08:00,-77.6168609,43.1232538
2012-12-04T20:43:50.223-08:00,-77.6168855,43.1232628
2012-12-04T20:46:51.307-08:00,-77.6168855,43.1232448
2012-12-04T20:47:51.388-08:00,-77.6168855,43.1232448
2012-12-04T20:48:51.410-08:00,-77.6168855,43.1232448
2012-12-04T20:54:49.709-08:00,-77.6167703,43.1231321
2012-12-04T20:57:40.300-08:00,-77.6167703,43.1231321
2012-12-04T20:58:40.399-08:00,-77.6167703,43.1231321
2012-12-04T21:01:39.659-08:00,-77.6167703,43.1231321
2012-12-04T21:02:42.168-08:00,-77.6167703,43.1231321
2012-12-04T21:03:42.224-08:00,-77.6167703,43.1231321
2012-12-04T21:05:40.985-08:00,-77.6167703,43.1231321
2012-12-04T21:06:41.445-08:00,-77.6167703,43.1231321
2012-12-04T21:07:45.082-08:00,-77.6167703,43.1231321
2012-12-04T21:09:41.583-08:00,-77.6167703,43.1231321
2012-12-04T21:11:41.538-08:00,-77.6169191,43.1233462
2012-12-04T21:19:53.969-08:00,-77.6168732,43.1232809
2012-12-04T21:44:00.404-08:00,-77.6168732,43.1232327
2012-12-04T22:45:46.194-08:00,-77.6168732,43.1232327
2012-12-04T23:46:40.274-08:00,-77.6168732,43.1232538
2012-12-05T00:46:58.153-08:00,-77.6168732,43.1232327
2012-12-05T01:47:51.229-08:00,-77.6168855,43.1232628
2012-12-05T02:48:37.631-08:00,-77.6168855,43.1232628
2012-12-05T03:49:37.313-08:00,-77.6168732,43.1232538
2012-12-05T04:18:47.530-08:00,-77.6168732,43.1232538
