LEVEL1,LEVEL2,LEVEL3,TOOLTIP,SOURCE,SOURCE URL,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,LEVEL
One,,Sixty Total,,,,0,0,0,0,0,0,0,0,500000,0,0,2
One Total,,,,,,0,0,0,0,0,617690176.2,606335730.9,611792218.6,596146289.7,0,0,1
Two,One,One,,,,0,0,0,0,0,0,0,2000,0,0,0,3
Two,,Two,,,,0,0,0,0,0,0,22000,20740,0,0,0,3
Two,,Three,,,,0,0,0,0,0,6215175.71,4302805.33,3459819.53,4366709.81,0,0,3
Two,,Five,,,,0,0,0,0,0,21760261.7,25272158.89,34579641.73,53213272.13,0,0,3
Two,,Six,,,,0,0,0,0,0,49661884.2,50014032.67,46187170.07,15113333.69,0,0,3
Two,,Eight,,,,0,0,0,0,0,7731542.29,4838521.88,4497020.97,2508553.18,0,0,3
Two,,Eleven,,,,0,0,0,0,0,348805.8,315433.86,300000,0,0,0,3
Two,,One Total,,,,0,0,0,0,0,85717669.7,84764952.63,89046392.3,75201868.81,0,0,2
Two,Two,One,,,,0,0,0,0,0,9758871.94,6250045.75,3665892.16,963228.38,0,0,3
Two,,Two Total,,,,0,0,0,0,0,9758871.94,6250045.75,3665892.16,963228.38,0,0,2
Two,Three,One,,,,0,0,0,0,0,876698.65,1032426.55,699558.99,715811.5,0,0,3
Two,,Three Total,,,,0,0,0,0,0,876698.65,1032426.55,699558.99,715811.5,0,0,2
Two,Four,One,,,,0,0,0,0,0,5033.12,1733.12,1103.15,0,0,0,3
Two,,Two,,,,0,0,0,0,0,3783349,1613309.98,317711.07,3416,0,0,3
Two,,Six,,,,0,0,0,0,0,2504009.28,2555880.14,870743.09,5501.65,0,0,3
Two,,Four Total,,,,0,0,0,0,0,6292391.4,4170923.24,1189557.31,8917.65,0,0,2
Two,Five,Two,,,,0,0,0,0,0,4429597.3,1134494.8,1967008.99,1499212.13,0,0,3
Two,,Five Total,,,,0,0,0,0,0,4429597.3,1134494.8,1967008.99,1499212.13,0,0,2
Two,Six,One,,,,0,0,0,0,0,6702183.89,5213406.81,1619343.21,918102.75,0,0,3
Two,,Two,,,,0,0,0,0,0,106429.45,144337.9,25300,0,0,0,3
Two,,Six Total,,,,0,0,0,0,0,6808613.34,5357744.71,1644643.21,918102.75,0,0,2
Two,Eight,One,,,,0,0,0,0,0,17506204.84,13862676.88,12983978.24,10941024.63,0,0,3
Two,,Two,,,,0,0,0,0,0,8855047.09,10844125.6,12731808.19,9235003.99,0,0,3
Two,,Eight Total,,,,0,0,0,0,0,26361251.93,24706802.48,25715786.43,20176028.62,0,0,2
Two,Nine,One,,,,0,0,0,0,0,113171080.7,103709396.8,73391042.42,44518335.8,0,0,3
Two,,Two,,,,0,0,0,0,0,17060072.43,13349481.75,16318424.97,13837640.59,0,0,3
Two,,Four,,,,0,0,0,0,0,2010294.32,1462122.25,1176745.16,30954.92,0,0,3
Two,,Eight,,,,0,0,0,0,0,0,0,0,0,0,0,3
Two,,Nine Total,,,,0,0,0,0,0,132241447.4,118521000.8,90886212.55,58386931.31,0,0,2
Two,Ten,Two,,,,0,0,0,0,0,9538045.97,10107255.49,7209812.17,3030188.33,0,0,3
Two,,Five,,,,0,0,0,0,0,95009325.92,60858981.13,75994219.8,56545284.92,0,0,3
Two,,Ten Total,,,,0,0,0,0,0,104547371.9,70966236.62,83204031.97,59575473.25,0,0,2
Two,Eleven,One,,,,0,0,0,0,0,148443.73,205572.93,71792.13,0,0,0,3
Two,,Eleven Total,,,,0,0,0,0,0,148443.73,205572.93,71792.13,0,0,0,2
Two,Twelve,One,,,,0,0,0,0,0,32344.37,6071.07,6986.35,0,0,0,3
Two,,Two,,,,0,0,0,0,0,500000,500000,500000,500000,0,0,3
Two,,Three,,,,0,0,0,0,0,0,10000,10000,0,0,0,3
Two,,Seven,,,,0,0,0,0,0,0,27096,11854,0,0,0,3
Two,,Nine,,,,0,0,0,0,0,3188186.06,2282246.79,3034712.29,2972188.02,0,0,3
Two,,Twelve Total,,,,0,0,0,0,0,3720530.43,2825413.86,3563552.64,3472188.02,0,0,2
Two,Fourteen,One,,,,0,0,0,0,0,403829.09,0,3000000,0,0,0,3
Two,,Two,,,,0,0,0,0,0,0,20000,0,0,0,0,3
Two,,Four,,,,0,0,0,0,0,5887339.32,7103547.88,4368558.89,452336.2,0,0,3
