LEVEL1,LEVEL2,LEVEL3,TOOLTIP,SOURCE,SOURCE URL,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,LEVEL
Revenue From Use of Goods & Services,FiveHundred,One,,,,0,0,0,0,0,0,472460.73,405934.75,0,0,0,3
Revenue From Use of Goods & Services,,Two,,,,0,0,0,0,0,0,11713673.43,9792501.99,0,0,0,3
Revenue From Use of Goods & Services,,NinetyNine,,,,0,0,0,0,0,0,22280357.65,38311357.93,0,0,0,3
Revenue From Use of Goods & Services,,FiveHundredOne,,,,0,0,0,0,0,506426.35,0,0,0,0,0,3
Revenue From Use of Goods & Services,,FiveHundredTwo,,,,0,0,0,0,0,12973120.1,0,0,0,0,0,3
Revenue From Use of Goods & Services,,FiveHundredThree,,,,0,0,0,0,0,32582964.31,0,0,0,0,0,3
Revenue From Use of Goods & Services,,FiveHundred Total,,,,0,0,0,0,0,46062510.76,34466491.81,48509794.67,0,0,0,2
Revenue From Use of Goods & Services Total,,,,,,0,0,0,0,0,134889593.5,124905607.1,150680733.3,0,0,0,1
Capital Revenue,OneHundred,One,,,,0,0,0,0,0,0,327292.83,346903.32,0,0,0,3
Capital Revenue,,OneHundred Total,,,,0,0,0,0,0,0,327292.83,346903.32,0,0,0,2
Capital Revenue,TwoHundred,One,,,,0,0,0,0,0,0,13008024.9,20164948.5,0,0,0,3
Capital Revenue,,Two,,,,0,0,0,0,0,0,944468,465236.85,0,0,0,3
Capital Revenue,,Three,,,,0,0,0,0,0,0,613743.77,2883259.05,0,0,0,3
Capital Revenue,,Four,,,,0,0,0,0,0,0,0,0,0,0,0,3
Capital Revenue,,Five,,,,0,0,0,0,0,0,100914.2,562456.98,0,0,0,3
Capital Revenue,,TwoHundredOne,,,,0,0,0,0,0,2801182.89,0,0,0,0,0,3
Capital Revenue,,TwoHundredThree,,,,0,0,0,0,0,1632111.38,0,0,0,0,0,3
Capital Revenue,,TwoHundredFive,,,,0,0,0,0,0,329029.58,0,0,0,0,0,3
Capital Revenue,,TwoHundred Total,,,,0,0,0,0,0,4762323.85,14667150.87,24075901.38,0,0,0,2
Capital Revenue,ThreeHundred,Eleven,,,,0,0,0,0,0,0,24330.84,0,0,0,0,3
Capital Revenue,,Twelve,,,,0,0,0,0,0,0,0,0,0,0,0,3
Capital Revenue,,ThreeHundredSeventeen,,,,0,0,0,0,0,697245.07,0,0,0,0,0,3
Capital Revenue,,ThreeHundredEighteen,,,,0,0,0,0,0,122235.42,0,0,0,0,0,3
Capital Revenue,,ThreeHundred Total,,,,0,0,0,0,0,819480.49,24330.84,0,0,0,0,2
Capital Revenue,FourHundred,One,,,,0,0,0,0,0,0,4534638.85,30013613.24,0,0,0,3
Capital Revenue,,Two,,,,0,0,0,0,0,0,911968.05,1269423.59,0,0,0,3
Capital Revenue,,Three,,,,0,0,0,0,0,0,0,0,0,0,0,3
Capital Revenue,,FourHundredOne,,,,0,0,0,0,0,52872393,0,0,0,0,0,3
Capital Revenue,,FourHundredTwo,,,,0,0,0,0,0,917153.35,0,0,0,0,0,3
Capital Revenue,,FourHundredThree,,,,0,0,0,0,0,1148222.13,0,0,0,0,0,3
Capital Revenue,,FourHundred Total,,,,0,0,0,0,0,54937768.48,5446606.9,31283036.83,0,0,0,2
Capital Revenue,FiveHundred,One,,,,0,0,0,0,0,0,10362759.72,7826536.51,0,0,0,3
Capital Revenue,,FiveHundredOne,,,,0,0,0,0,0,11548436.27,0,0,0,0,0,3
