LEVEL1,LEVEL2,LEVEL3,TOOLTIP,SOURCE,SOURCE URL,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,LEVEL
Current Expenditures Total,,,,,,0,0,0,0,0,584231544,562502816.5,569007857.1,0,0,0,1
Capital Expenditure of Investment,One,One,,,,0,0,0,0,0,0,0,1972.56,0,0,0,3
Capital Expenditure of Investment,,Two,,,,0,0,0,0,0,0,0,20008,0,0,0,3
Capital Expenditure of Investment,,Three,,,,0,0,0,0,0,256123.86,842288.44,862745.32,0,0,0,3
Capital Expenditure of Investment,,Five,,,,0,0,0,0,0,58454498.88,7995154.53,23922941.96,0,0,0,3
Capital Expenditure of Investment,,Six,,,,0,0,0,0,0,10691685.27,8066265.42,5724112.67,0,0,0,3
Capital Expenditure of Investment,,Seven,,,,0,0,0,0,0,0,0,0,0,0,0,3
Capital Expenditure of Investment,,Eight,,,,0,0,0,0,0,3696067.78,1080995.96,1724573.27,0,0,0,3
Capital Expenditure of Investment,,Eleven,,,,0,0,0,0,0,253455.01,18343.02,0,0,0,0,3
Capital Expenditure of Investment,,One Total,,,,0,0,0,0,0,73351830.8,18003047.37,32256353.78,0,0,0,2
Capital Expenditure of Investment,Two,One,,,,0,0,0,0,0,4673939.17,2584275.07,841920.85,0,0,0,3
Capital Expenditure of Investment,,Two Total,,,,0,0,0,0,0,4673939.17,2584275.07,841920.85,0,0,0,2
Capital Expenditure of Investment,Three,One,,,,0,0,0,0,0,507310.56,277061.48,517368.28,0,0,0,3
Capital Expenditure of Investment,,Three Total,,,,0,0,0,0,0,507310.56,277061.48,517368.28,0,0,0,2
Capital Expenditure of Investment,Four,One,,,,0,0,0,0,0,3300,629.97,0,0,0,0,3
Capital Expenditure of Investment,,Two,,,,0,0,0,0,0,2733161.72,1336879.12,171438.81,0,0,0,3
Capital Expenditure of Investment,,Six,,,,0,0,0,0,0,0,1615870.06,837241.89,0,0,0,3
Capital Expenditure of Investment,,Four Total,,,,0,0,0,0,0,2736461.72,2953379.15,1008680.7,0,0,0,2
Capital Expenditure of Investment,Five,Two,,,,0,0,0,0,0,1078995.68,892729.59,867434.82,0,0,0,3
Capital Expenditure of Investment,,Five Total,,,,0,0,0,0,0,1078995.68,892729.59,867434.82,0,0,0,2
Capital Expenditure of Investment,Six,One,,,,0,0,0,0,0,1537788.84,1634859.66,454328.62,0,0,0,3
Capital Expenditure of Investment,,Two,,,,0,0,0,0,0,0,40044.05,0,0,0,0,3
Capital Expenditure of Investment,,Six Total,,,,0,0,0,0,0,1537788.84,1674903.71,454328.62,0,0,0,2
Capital Expenditure of Investment,Seven,One,,,,0,0,0,0,0,0,0,0,0,0,0,3
Capital Expenditure of Investment,,Seven Total,,,,0,0,0,0,0,0,0,0,0,0,0,2
Capital Expenditure of Investment,Eight,One,,,,0,0,0,0,0,4152087.93,2833978.43,2199689.46,0,0,0,3
Capital Expenditure of Investment,,Two,,,,0,0,0,0,0,1229216.41,780036.38,3118620.71,0,0,0,3
Capital Expenditure of Investment,,Eight Total,,,,0,0,0,0,0,5381304.34,3614014.81,5318310.17,0,0,0,2
Capital Expenditure of Investment,Nine,One,,,,0,0,0,0,0,26577503.28,17881186.84,24510492.75,0,0,0,3
Capital Expenditure of Investment,,Two,,,,0,0,0,0,0,3391463.46,2638486.43,1090087.03,0,0,0,3
Capital Expenditure of Investment,,Four,,,,0,0,0,0,0,555672.06,218962.06,513658.86,0,0,0,3
Capital Expenditure of Investment,,Eight,,,,0,0,0,0,0,0,0,0,0,0,0,3
Capital Expenditure of Investment,,Nine Total,,,,0,0,0,0,0,30524638.8,20738635.33,26114238.64,0,0,0,2
Capital Expenditure of Investment,Ten,Two,,,,0,0,0,0,0,3456184.48,5538533.24,1976529.99,0,0,0,3
Capital Expenditure of Investment,,Three,,,,0,0,0,0,0,0,0,0,0,0,0,3
Capital Expenditure of Investment,,Five,,,,0,0,0,0,0,30983866.06,9760780.57,14946811.16,0,0,0,3
Capital Expenditure of Investment,,Ten Total,,,,0,0,0,0,0,34440050.54,15299313.81,16923341.15,0,0,0,2
Capital Expenditure of Investment,Eleven,One,,,,0,0,0,0,0,80139.22,5721.8,88941,0,0,0,3
Capital Expenditure of Investment,,Eleven Total,,,,0,0,0,0,0,80139.22,5721.8,88941,0,0,0,2
Capital Expenditure of Investment,Twelve,One,,,,0,0,0,0,0,26273.3,0,0,0,0,0,3
Capital Expenditure of Investment,,Two,,,,0,0,0,0,0,500000,500000,500000,0,0,0,3
Capital Expenditure of Investment,,Three,,,,0,0,0,0,0,0,0,9997.33,0,0,0,3
Capital Expenditure of Investment,,Seven,,,,0,0,0,0,0,0,27059.46,11600.64,0,0,0,3
Capital Expenditure of Investment,,Nine,,,,0,0,0,0,0,692546.66,503350.48,578941.85,0,0,0,3
Capital Expenditure of Investment,,Twelve Total,,,,0,0,0,0,0,1218819.96,1030409.94,1100539.82,0,0,0,2
Capital Expenditure of Investment,Fourteen,One,,,,0,0,0,0,0,403829.09,0,0,0,0,0,3
Capital Expenditure of Investment,,Two,,,,0,0,0,0,0,0,0,0,0,0,0,3
Capital Expenditure of Investment,,Four,,,,0,0,0,0,0,983791.44,234988.99,84812.03,0,0,0,3
Capital Expenditure of Investment,,Fourteen Total,,,,0,0,0,0,0,1387620.53,234988.99,84812.03,0,0,0,2
Capital Expenditure of Investment,Nineteen,One,,,,0,0,0,0,0,574824.25,1333091.59,2634315.92,0,0,0,3
Capital Expenditure of Investment,,Nineteen Total,,,,0,0,0,0,0,574824.25,1333091.59,2634315.92,0,0,0,2
Capital Expenditure of Investment Total,,,,,,0,0,0,0,0,157493724.4,68641572.64,88210585.78,0,0,0,1
Purchase of Shares & Credit Concessions,One,Three,,,,0,0,0,0,0,0,1424093.08,7327937.01,0,0,0,3
Purchase of Shares & Credit Concessions,,Five,,,,0,0,0,0,0,0,0,8249911.34,0,0,0,3
Purchase of Shares & Credit Concessions,,Eleven,,,,0,0,0,0,0,0,0,20000000,0,0,0,3
Purchase of Shares & Credit Concessions,,One Total,,,,0,0,0,0,0,0,1424093.08,35577848.35,0,0,0,2
Purchase of Shares & Credit Concessions,Ten,Two,,,,0,0,0,0,0,0,0,0,0,0,0,3
Purchase of Shares & Credit Concessions,,Ten Total,,,,0,0,0,0,0,0,0,0,0,0,0,2
Purchase of Shares & Credit Concessions,Twelve,Seven,,,,0,0,0,0,0,0,0,38000,0,0,0,3
Purchase of Shares & Credit Concessions,,Twelve Total,,,,0,0,0,0,0,0,0,38000,0,0,0,2
Purchase of Shares & Credit Concessions,Nineteen,One,,,,0,0,0,0,0,0,0,50000,0,0,0,3
