LEVEL1,LEVEL2,LEVEL3,TOOLTIP,SOURCE,SOURCE URL,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,LEVEL
Two,,Five,,,,0,0,0,0,0,30983866.06,9760780.57,14946811.16,0,0,0,3
Two,,Ten Total,,,,0,0,0,0,0,34440050.54,15299313.81,16923341.15,0,0,0,2
Two,Eleven,One,,,,0,0,0,0,0,80139.22,5721.8,88941,0,0,0,3
Two,,Eleven Total,,,,0,0,0,0,0,80139.22,5721.8,88941,0,0,0,2
Two,Twelve,One,,,,0,0,0,0,0,26273.3,0,0,0,0,0,3
Two,,Two,,,,0,0,0,0,0,500000,500000,500000,0,0,0,3
Two,,Three,,,,0,0,0,0,0,0,0,9997.33,0,0,0,3
Two,,Seven,,,,0,0,0,0,0,0,27059.46,11600.64,0,0,0,3
Two,,Nine,,,,0,0,0,0,0,692546.66,503350.48,578941.85,0,0,0,3
Two,,Twelve Total,,,,0,0,0,0,0,1218819.96,1030409.94,1100539.82,0,0,0,2
Two,Fourteen,One,,,,0,0,0,0,0,403829.09,0,0,0,0,0,3
Two,,Two,,,,0,0,0,0,0,0,0,0,0,0,0,3
Two,,Four,,,,0,0,0,0,0,983791.44,234988.99,84812.03,0,0,0,3
Two,,Fourteen Total,,,,0,0,0,0,0,1387620.53,234988.99,84812.03,0,0,0,2
Two,Nineteen,One,,,,0,0,0,0,0,574824.25,1333091.59,2634315.92,0,0,0,3
Two,,Nineteen Total,,,,0,0,0,0,0,574824.25,1333091.59,2634315.92,0,0,0,2
Two Total,,,,,,0,0,0,0,0,157493724.4,68641572.64,88210585.78,0,0,0,1
Three,One,Three,,,,0,0,0,0,0,0,1424093.08,7327937.01,0,0,0,3
Three,,Five,,,,0,0,0,0,0,0,0,8249911.34,0,0,0,3
Three,,Eleven,,,,0,0,0,0,0,0,0,20000000,0,0,0,3
Three,,One Total,,,,0,0,0,0,0,0,1424093.08,35577848.35,0,0,0,2
Three,Ten,Two,,,,0,0,0,0,0,0,0,0,0,0,0,3
Three,,Ten Total,,,,0,0,0,0,0,0,0,0,0,0,0,2
Three,Twelve,Seven,,,,0,0,0,0,0,0,0,38000,0,0,0,3
Three,,Twelve Total,,,,0,0,0,0,0,0,0,38000,0,0,0,2
Three,Nineteen,One,,,,0,0,0,0,0,0,0,50000,0,0,0,3
Three,,Nineteen Total,,,,0,0,0,0,0,0,0,50000,0,0,0,2
Three Total,,,,,,0,0,0,0,0,0,1424093.08,35665848.35,0,0,0,1
Four,Fifty,Two,,,,0,0,0,0,0,16939995.91,17709132.33,11658340.71,0,0,0,3
Four,,Fifty Total,,,,0,0,0,0,0,16939995.91,17709132.33,11658340.71,0,0,0,2
Four Total,,,,,,0,0,0,0,0,16939995.91,17709132.33,11658340.71,0,0,0,1
Five,Sixty,One,,,,0,0,0,0,0,133953378.5,142964424.1,299736526.1,0,0,0,3
Five,,Sixty Total,,,,0,0,0,0,0,133953378.5,142964424.1,299736526.1,0,0,0,2
Five Total,,,,,,0,0,0,0,0,133953378.5,142964424.1,299736526.1,0,0,0,1
Seven,NinetyNine,One,,,,0,0,0,0,0,43463367.41,58832202.56,236735029.6,0,0,0,3
Seven,,NinetyNine Total,,,,0,0,0,0,0,43463367.41,58832202.56,236735029.6,0,0,0,2
Seven Total,,,,,,0,0,0,0,0,43463367.41,58832202.56,236735029.6,0,0,0,1
Zero,Zero,Zero,,,,0,0,0,0,0,0,0,0,0,0,0,3
Zero,,Zero Total,,,,0,0,0,0,0,0,0,0,0,0,0,2
Zero Total,,,,,,0,0,0,0,0,0,0,0,0,0,0,1
APPROPRIATIONS TOTAL,,,,,,0,0,0,0,0,936082010.2,852074241.2,1241014188,0,0,0,0
